census_tract_id,census_tract_label,total_crimes,crime_vehicle___stolen,crime_battery___simple_ass,crime_burglary_from_vehicl,crime_theft_of_identity,crime_vandalism___felony_(,crime_burglary,crime_theft_plain___petty_,crime_assault_with_deadly_,crime_intimate_partner___s,crime_theft_from_motor_veh
208710.0,2087.1,623,95.0,46.0,42.0,47.0,43.0,30.0,36.0,18.0,45.0,37.0
208720.0,2087.2,917,91.0,114.0,20.0,63.0,60.0,24.0,52.0,96.0,79.0,33.0
208801.0,2088.01,2703,108.0,257.0,53.0,67.0,102.0,39.0,106.0,305.0,93.0,50.0
208802.0,2088.02,1368,130.0,126.0,56.0,273.0,72.0,80.0,59.0,77.0,76.0,45.0
208902.0,2089.02,1523,93.0,185.0,55.0,29.0,83.0,36.0,99.0,158.0,43.0,47.0
208903.0,2089.03,1626,80.0,241.0,32.0,51.0,79.0,21.0,84.0,256.0,106.0,42.0
208904.0,2089.04,611,38.0,95.0,12.0,42.0,41.0,24.0,24.0,63.0,51.0,16.0
209103.0,2091.03,719,72.0,74.0,30.0,75.0,40.0,20.0,39.0,47.0,44.0,33.0
209104.0,2091.04,252,23.0,35.0,7.0,28.0,11.0,15.0,16.0,19.0,14.0,7.0
209105.0,2091.05,547,37.0,59.0,12.0,30.0,41.0,8.0,36.0,29.0,48.0,17.0
209106.0,2091.06,1250,135.0,144.0,93.0,100.0,80.0,46.0,62.0,84.0,52.0,53.0
209201.0,2092.01,1367,182.0,73.0,219.0,89.0,91.0,77.0,105.0,47.0,53.0,65.0
209202.0,2092.02,1288,137.0,68.0,147.0,60.0,94.0,89.0,79.0,51.0,58.0,57.0
209300.0,2093.0,1403,161.0,129.0,129.0,54.0,119.0,53.0,62.0,99.0,79.0,50.0
209401.0,2094.01,1186,148.0,124.0,63.0,72.0,69.0,36.0,65.0,77.0,71.0,49.0
209402.0,2094.02,1168,82.0,142.0,28.0,63.0,53.0,24.0,57.0,156.0,91.0,29.0
209403.0,2094.03,1043,94.0,78.0,26.0,54.0,57.0,29.0,57.0,72.0,63.0,33.0
209510.0,2095.1,775,105.0,85.0,30.0,30.0,61.0,21.0,40.0,56.0,41.0,56.0
209520.0,2095.2,940,120.0,90.0,26.0,33.0,58.0,22.0,58.0,80.0,65.0,36.0
209810.0,2098.1,525,46.0,87.0,19.0,19.0,20.0,20.0,34.0,24.0,20.0,13.0
209820.0,2098.2,657,67.0,74.0,22.0,54.0,29.0,27.0,26.0,44.0,35.0,34.0
210010.0,2100.1,1190,226.0,87.0,77.0,49.0,77.0,32.0,36.0,61.0,90.0,70.0
211000.0,2110.0,1975,141.0,89.0,115.0,121.0,97.0,331.0,125.0,41.0,30.0,52.0
211121.0,2111.21,512,55.0,40.0,28.0,44.0,27.0,21.0,22.0,40.0,39.0,31.0
211122.0,2111.22,1981,196.0,189.0,164.0,84.0,138.0,110.0,192.0,105.0,97.0,72.0
211123.0,2111.23,725,56.0,61.0,49.0,24.0,48.0,26.0,47.0,44.0,20.0,25.0
211124.0,2111.24,1757,126.0,170.0,83.0,66.0,111.0,69.0,105.0,114.0,53.0,42.0
211201.0,2112.01,460,53.0,38.0,32.0,43.0,20.0,30.0,25.0,27.0,34.0,18.0
211202.0,2112.02,853,82.0,91.0,28.0,21.0,69.0,57.0,53.0,47.0,42.0,40.0
211310.0,2113.1,325,30.0,32.0,6.0,27.0,12.0,23.0,19.0,25.0,19.0,11.0
211320.0,2113.2,1245,88.0,122.0,35.0,78.0,92.0,57.0,75.0,78.0,100.0,50.0
211410.0,2114.1,857,108.0,76.0,67.0,34.0,52.0,89.0,38.0,37.0,32.0,40.0
211420.0,2114.2,911,142.0,64.0,61.0,48.0,48.0,76.0,54.0,34.0,53.0,43.0
211500.0,2115.0,1313,201.0,51.0,141.0,67.0,65.0,141.0,67.0,31.0,52.0,92.0
211701.0,2117.01,571,65.0,23.0,50.0,30.0,48.0,57.0,27.0,14.0,11.0,45.0
211703.0,2117.03,710,69.0,59.0,57.0,32.0,35.0,51.0,48.0,42.0,38.0,25.0
211704.0,2117.04,780,87.0,72.0,70.0,49.0,40.0,36.0,61.0,52.0,36.0,22.0
211802.0,2118.02,1741,139.0,156.0,204.0,53.0,104.0,85.0,142.0,90.0,46.0,47.0
