X,Y,FID,OBJECTID,LOCN,CATEGORY,CAT_DESC,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,SITE_POLY,MAP_POLY,LABEL,MAP_DESC,MPD_DESC,PLANREF1,INDEXCHTR,PHASE,CAL,ORIGNAME,CONFIG,CONGRESS,ASSEMBLY,BOE,LACOUNCIL,SENATE,SUPERVISOR,FULLNAME,CDSCODE,CHARTER,P_ESC,ESC,SCHOOL_ID,CCC,DLP,LD,P_LD,PREFCCC,PREFLOCN,ACTIVE,SCH_FLAG,SITE_ID,COS,COS_CCC,COSID,COS_ID,LOGRD,HIGRD,PIC_NAME,PHY_COS,LATITUDE,LONGITUDE,BSYS_TYP,BSYS_CLAS,YEAROPENED,PSC,PROP39,BOE_OLD,TYPEWEB,REGION,PHY_REGION,LAUSD_SCH,WEBLABEL,PRIORITY
-13169419.7398229,4064848.14987391,415,724,8106,CSI,Charter Start-up Independent,NORTH VALLEY MILITARY INST COL PREP ACAD,10965 MT GLEASON AVE,SUNLAND,91040,EJ,CSI,N,CSI_N,North Valley Military Inst Col Prep Acad,Independent Charter,Span School,0,N, ,OTHER,North Valley Charter Acad,6-12,30,44,6,7,20,5,North Valley Military Institute College Preparatory Academy,19647330100776,N,NORTH,XR,8106a,1810601,N,XR,NE,1810601,8106,Yes,Y,13744, , ,0, ,6,12,North Valley MICP Acad,Sunland/Tujunga CoS,34.26801927,-118.30289814,EJ,Span School,0, , ,6,CCA,XR,N,LACOE,North Valley MICP Acad, 
-13162577.320161,4043304.59846298,416,725,8456,CSI,Charter Start-up Independent,RENAISSANCE ARTS ACD,2558 N SAN FERNANDO RD,LOS ANGELES,90065,EJ,CSI,N,CSI_N,Renaissance Arts Acad,Independent Charter,Span School,0,N, ,OTHER,Renaissance Arts Acd,TK-12,34,52,5,1,26,1,Renaissance Arts Academy,19647330101683,Y,EAST,XR,8456,1845601,N,XR,C,1845601,8456,Yes,Y,0, , ,0, ,6,12,Renaissance Arts Acd,Glassell Park/Los Feliz CoS,34.10793248,-118.24143166,EJ,Span Schools (Not Magnets),2003, , ,5,CCA,XR,W, ,Renaissance Arts Acd, 
-13158351.576463,4031953.76113725,417,729,8827,CSI,Charter Start-up Independent,DE LA HOYA ANIMO,1114 S LORENA ST,LOS ANGELES,90023,S,CSI,Y,CSI_Y,De La Hoya Animo High,Independent Charter,High School,0,Y, ,OTHER,De La Hoya Animo,9-12,34,54,2,14,26,1,Oscar De La Hoya Animo High School,19647330101675,Y,EAST,XR,8827,1882701,N,XR,E,1882701,8827,Yes,Y,16261, , ,0, ,9,12,De la Hoya Animo CHS,Boyle Heights CoS,34.02346404,-118.20347117,S,Senior High School,2003, , ,2,CCA,XR,E, ,De la Hoya Animo CHS, 
-13178173.8670106,4066474.57864727,418,735,8212,CSI,Charter Start-up Independent,PUC LAKEVIEW CHARTER SCH,11465 KAGEL CANYON ST,LAKEVIEW TERRACE,91342,J,CSI,N,CSI_N,PUC Lakeview Chrtr School,Independent Charter,Middle School,0,N, ,OTHER,Lakeview Charter School,6-8,29,43,6,7,20,5,PUC Lakeview Charter School,19647330102442,Y,NORTH,XR,8212,1821201,N,XR,NE,1821201,8212,Yes,Y,13867, , ,0, ,6,8,PUC Lakeview CA,San Fernando Valley/Sylmar CoS,34.28009267,-118.38153779,J,Middle School,2004, , ,6,CCA,XR,N, ,PUC Lakeview CA, 
-13166913.3028418,4037726.40678067,419,508,2543, , ,LAFAYETTE PARK PC,310 S LAFAYETTE PARK PL,LOS ANGELES,90057,EP,ES,Y,ES_Y,Lafayette Park PC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Primary Center,92105,Y,Phase I,1 TRK,Lafayette Park PC,K-K,34,54,2,1,26,1,Lafayette Park Primary Center,19647336119093,N,EAST,E,2543,1254301,N,C,C,1254301,2543,Yes,Y,13831,MacArthur Park CoS,1348901,3489,3489,0,0,Lafayette Park PC,MacArthur Park CoS,34.06643231,-118.28038245,EP,Primary Center,2001, , ,2,ES,E,E,Yes,Lafayette Park PC, 
-13155359.0336357,4024496.77835727,420,509,2372, , ,OCHOA LRNG CTR,5027 LIVE OAK ST,CUDAHY,90201,EJ,SS,Y,SS_Y,Ochoa Lrng Ctr,"Span School (Span School, Special Ed School)",Span School,92105,Y, ,1 TRK,Bell New ES #3,K-8,42,64,5,BEL,33,4,Ellen Ochoa Learning Center,19647336118186,N,SOUTH,S,2372,1237201,N,E,E,1237201,2372,Yes,Y,14062,Bell/Cudahy/Maywood CoS,1350201,3502,3502,0,8,Ochoa LC,Bell/Cudahy/Maywood CoS,33.96792632,-118.17658871,EJ,Span Schools (Not Magnets),2000, , ,5,SS,E,E,Yes,Ochoa LC, 
-13166807.6183055,4033812.6800461,421,513,4765,CSI,Charter Start-up Independent,DOWNTOWN VALUE SCH,950 W WASHINGTON BLVD,LOS ANGELES,90015,EJ,CSI,N,CSI_N,Downtown Value School,Independent Charter,Span School,0,N, ,OTHER,Downtown Value School,TK-8,37,57,5,1,28,2,Downtown Value School,19647336119903,Y,EAST,XR,4765,1476501,N,XR,C,1476501,4765,Yes,Y,0, , ,0, ,0,8,Downtown Value Sch,Manual Arts/Vermont Square CoS,34.03730315,-118.27943307,EJ,Span Schools (Not Magnets),2002, , ,2,CCA,XR,S, ,Downtown Value Sch, 
-13180023.1798329,4054723.74093746,422,769,3577, , ,BELLINGHAM ES,6728 N BELLINGHAM AVE,NORTH HOLLYWOOD,91601,E,ES,Y,ES_Y,Bellingham,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,92105,Y, ,1 TRK,North Hollywood New PC #4,K-5,29,43,6,2,27,3,Bellingham Elementary School,19647330106914,N,NORTH,N,3577,1357701,N,NE,NE,1357701,3577,Yes,Y,13925,North Hollywood/Valley Village CoS,1350401,3504,3504,0,5,Bellingham El,North Hollywood/Valley Village CoS,34.19282421,-118.39815045,E,Elementary School,2004, , ,6,ES,N,N,Yes,Bellingham El, 
-13191914.9764585,4053926.36859432,423,738,8885,CCI,Charter Conversion Independent,HIGHTECH LA,17111 VICTORY BLVD,LAKE BALBOA,91406,S,CCI,N,CCI_N,HighTech LA,Independent Charter,High School,0,N, ,OTHER,High Tech High,9-12,29,46,3,6,20,3,HighTech LA,19647330100677,Y,NORTH,XR,8885,1888501,N,XR,NW,1888501,8885,Yes,Y,0, , ,0, ,9,12,Hightech LA,Reseda CoS,34.18689919,-118.50497626,S,Senior High School,2004, ,District *,3,CCA,XR,N, ,Hightech LA, 
-13181943.8869904,4061122.27900956,424,739,8054,CSI,Charter Start-up Independent,BERT CORONA CHARTER,9400 REMICK AVE,PACOIMA,91331,J,CSI,N,CSI_N,Bert Corona Chrtr,Independent Charter,Middle School,0,N, ,OTHER,Bert Corona Charter,5-8,29,43,6,7,20,3,Bert Corona Charter School,19647330106872,Y,NORTH,XR,8054,1805401,N,XR,NE,1805401,8054,Yes,Y,0, , ,0, ,6,8,Corona CS,Sun Valley CoS,34.24035464,-118.41540445,J,Middle School,2004, , ,6,CCA,XR,N, ,Corona CS, 
-13171542.362683,4028267.27784403,425,453,2123, , ,ANGELES MESA ES,2611 W 52ND ST,LOS ANGELES,90043,E,ES,Y,ES_Y,Angeles Mesa,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Y,5,1 TRK,Angeles Mesa,K-5,37,55,1,8,28,2,Angeles Mesa Elementary School,19647336015804,N,WEST,W,2123,1212301,N,W,W,1212301,2123,Yes,Y,13427,LA Mid-City CoS,1353501,3535,3535,0,5,Angeles Mesa El,H.E.E.T. (C/D) CoS,33.99601259,-118.321966,E,Elementary School,1917, , ,1,ES,W,W,Yes,Angeles Mesa El, 
-13175388.7453272,4028304.39221332,426,454,7822, , ,WINDSOR M/S AERO MAG,5215 OVERDALE DR,LOS ANGELES,90043,ES,M,Y,M_Y,Windsor Mag,Magnet School,Elementary School Magnet - Self Contained,0,Y,3,1 TRK,Windsor Hills Magnet,K-5,37,55,1,CO,28,2,Windsor Math/Science/Aerospace Magnet,19647336019996,N,WEST,W,7822,1782201,N,W,W,1782201,7822,Yes,Y,13757,Westchester CoS,1354201,3542,3542,0,5,Windsor Hills El Mag,H.E.E.T. (C/D) CoS,33.99628901,-118.35651864,ES,Magnet-Self Contained (Elem),1954, , ,1,M,W,W,Yes,Windsor Hills El Mag, 
-13183054.9676015,4071679.37516008,427,517,8605,CSI,Charter Start-up Independent,DISCOVERY CH PREP 2,13570 N ELDRIDGE AVE,SYLMAR,91342,S,CSI,N,CSI_N,Discovery Chrtr Prep 2,Independent Charter,High School,0,N, ,OTHER,Discovery Chrtr Prep,9-12,29,43,6,7,20,3,Discovery Charter Preparatory 2,19647330115253,Y,NORTH,XR,8605,1860501,N,XR,NE,1860501,8605,Yes,Y,0, , ,0, ,9,12,Discovery Ch Prep #2,San Fernando Valley/Sylmar CoS,34.31871757,-118.42538545,S,Senior High School,2007, , ,6,CCA,XR,N, ,Discovery Ch Prep #2, 
